iy   id  it imin qn   qh   qe   qs   qf   U     RH    Tair  pres   rain kdown  snow ldown fcld wuh  xsmd lai  kdiff kdir wdir
2013 4   13 0    -999 -999 -999 -999 -999 5     71.94 9.98  103.01 0    114.11 -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   14 0    -999 -999 -999 -999 -999 4.97  73.52 10.25 102.98 0    75.89  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   15 0    -999 -999 -999 -999 -999 3.87  74.93 10.47 102.95 0    41.24  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   16 0    -999 -999 -999 -999 -999 3.8   75.59 10.51 102.95 0    12.31  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   17 0    -999 -999 -999 -999 -999 3.92  76.98 10.4  102.97 0    0.12   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   18 0    -999 -999 -999 -999 -999 3.37  78.93 10.3  102.95 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   19 0    -999 -999 -999 -999 -999 3.19  80.22 10.18 102.94 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   20 0    -999 -999 -999 -999 -999 3.53  81.81 9.91  102.96 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   21 0    -999 -999 -999 -999 -999 3.42  83.69 9.54  102.96 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   22 0    -999 -999 -999 -999 -999 3.29  84.81 9.34  102.94 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 4   23 0    -999 -999 -999 -999 -999 3.16  85.18 8.89  102.91 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 5   0  0    -999 -999 -999 -999 -999 3.45  84.52 8.68  102.91 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 5   1  0    -999 -999 -999 -999 -999 4.31  84.97 8.32  102.9  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 5   2  0    -999 -999 -999 -999 -999 3.33  85.25 8.41  102.89 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
