  iy  id it imin     qn     qh     qe     qs     qf        U       RH     Tair     pres     rain    kdown   snow    ldown   fcld    Wuh   xsmd    lai  kdiff   kdir  wdir
2012   4  5    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.826   60.569    6.440  100.861    0.000    0.000 -999.0  247.984 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  99.2
2012   4  6    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.594   61.805    6.243  100.956    0.000    0.000 -999.0  247.311 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  95.7
2012   4  7    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.222   61.244    6.298  101.016    0.000    0.000 -999.0  250.803 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  91.8
2012   4  8    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.996   61.290    6.483  101.094    0.000    0.000 -999.0  250.690 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  89.1
2012   4  9    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.658   63.836    6.445  101.189    0.000   21.618 -999.0  252.833 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  86.6
2012   4 10    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.336   65.064    6.924  101.261    0.000   76.377 -999.0  267.631 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  76.7
2012   4 11    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.508   65.599    7.262  101.285    0.000   91.473 -999.0  304.984 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  72.7
2012   4 12    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.535   65.950    7.724  101.185    0.000  155.742 -999.0  284.403 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  62.8
2012   4 13    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.670   68.348    7.991  101.129    0.000  134.378 -999.0  292.809 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  58.8
2012   4 14    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.849   68.786    8.303  100.995    0.004   84.384 -999.0  304.670 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  58.1
2012   4 15    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.587   69.151    8.535  100.855    0.003   55.306 -999.0  312.405 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  55.6
2012   4 16    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.940   70.134    8.964  100.722    0.023   14.842 -999.0  330.751 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  56.2
2012   4 17    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.541   71.801    9.251  100.614    0.064    0.000 -999.0  341.978 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  60.6
2012   4 18    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.992   71.456    9.612  100.423    0.068    0.000 -999.0  344.587 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  62.4
2012   4 19    0 -999.0 -999.0 -999.0 -999.0 -999.0    8.411   72.832    9.785  100.289    0.293    0.000 -999.0  349.159 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  66.7
2012   4 20    0 -999.0 -999.0 -999.0 -999.0 -999.0    8.965   74.224    9.981  100.132    0.528    0.000 -999.0  349.353 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  70.3
2012   4 21    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.154   75.142   10.116   99.978    0.663    0.000 -999.0  348.082 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  74.1
2012   4 22    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.733   76.579    9.991   99.814    0.569    0.000 -999.0  345.544 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  73.9
2012   4 23    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.296   73.751   10.420   99.644    0.167    0.000 -999.0  332.791 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  73.6
2012   5  0    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.636   72.711   10.817   99.478    0.070    0.000 -999.0  315.264 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  74.7
2012   5  1    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.489   73.077   11.154   99.412    0.012    0.000 -999.0  313.796 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  77.0
2012   5  2    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.354   72.693   11.603   99.375    0.000    0.000 -999.0  340.880 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  81.6
2012   5  3    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.132   72.119   11.865   99.292    0.000    0.000 -999.0  353.509 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  81.8
2012   5  4    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.722   70.352   12.390   99.207    0.009    0.000 -999.0  357.482 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  84.3
2012   5  5    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.472   70.037   12.488   99.117    0.057    0.000 -999.0  350.155 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  85.3
2012   5  6    0 -999.0 -999.0 -999.0 -999.0 -999.0   10.069   69.571   12.344   99.037    0.052    0.000 -999.0  321.039 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  88.8
2012   5  7    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.608   68.387   12.065   99.004    0.292    0.000 -999.0  337.063 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  95.6
2012   5  8    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.140   65.248   11.428   99.085    0.294    0.000 -999.0  308.123 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 106.6
2012   5  9    0 -999.0 -999.0 -999.0 -999.0 -999.0    8.761   59.611   10.753   99.180    0.181   16.385 -999.0  314.913 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 110.4
2012   5 10    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.985   61.735    9.664   99.267    0.043   86.063 -999.0  301.748 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 110.9
2012   5 11    0 -999.0 -999.0 -999.0 -999.0 -999.0    8.379   62.458    9.337   99.333    0.029  162.284 -999.0  287.004 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 110.5
2012   5 12    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.069   57.442    9.627   99.392    0.068  188.961 -999.0  297.259 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 107.8
2012   5 13    0 -999.0 -999.0 -999.0 -999.0 -999.0    8.161   55.840    9.542   99.472    0.032  188.375 -999.0  295.693 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 106.9
2012   5 14    0 -999.0 -999.0 -999.0 -999.0 -999.0    9.425   56.051    9.515   99.590    0.031  177.497 -999.0  273.074 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 116.9
2012   5 15    0 -999.0 -999.0 -999.0 -999.0 -999.0    8.841   53.294    9.660   99.811    0.002   91.414 -999.0  291.251 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 126.7
2012   5 16    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.935   53.210    9.597  100.016    0.000   27.379 -999.0  297.101 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 130.2
2012   5 17    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.261   52.155    9.520  100.201    0.000    0.000 -999.0  299.288 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 129.9
2012   5 18    0 -999.0 -999.0 -999.0 -999.0 -999.0    7.077   51.764    9.225  100.383    0.000    0.000 -999.0  292.076 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 128.8
2012   5 19    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.718   53.083    8.686  100.528    0.000    0.000 -999.0  259.949 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 127.8
2012   5 20    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.205   57.244    8.339  100.631    0.000    0.000 -999.0  258.177 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 125.3
2012   5 21    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.046   60.034    8.343  100.747    0.000    0.000 -999.0  270.639 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 123.0
