dectime dryQSresid
18.7500 NaN
18.7655 NaN
18.7917 NaN
18.8072 NaN
18.8333 NaN
18.8488 NaN
18.8750 NaN
18.8905 NaN
18.9167 NaN
18.9321 NaN
18.9583 NaN
18.9738 NaN
19.0000 NaN
19.0155 NaN
19.0417 NaN
19.0571 NaN
19.0833 NaN
19.0988 NaN
19.1250 NaN
19.1404 NaN
19.1667 NaN
19.1821 NaN
19.2083 NaN
19.2237 NaN
19.2500 NaN
19.2654 NaN
19.2917 NaN
19.3070 NaN
19.3333 NaN
19.3487 NaN
19.3750 NaN
19.3903 NaN
19.4167 NaN
19.4320 NaN
19.4583 NaN
19.4737 NaN
19.5000 NaN
19.5153 NaN
19.5417 15.5426
19.5570 -1.9078
19.5833 -33.1217
19.5986 -53.8753
19.6250 -71.8224
19.6403 -71.4890
19.6667 -52.9350
19.6819 -48.3925
19.7083 -50.4379
19.7236 -42.6679
19.7500 -33.5608
19.7652 -32.8805
19.7917 NaN
19.8069 NaN
19.8333 NaN
19.8485 NaN
19.8750 NaN
19.8902 NaN
19.9167 NaN
19.9319 NaN
19.9583 NaN
19.9735 NaN
20.0000 NaN
20.0152 NaN
20.0417 NaN
20.0568 NaN
20.0833 NaN
20.0985 NaN
20.1250 NaN
20.1401 NaN
20.1667 NaN
20.1818 NaN
20.2083 NaN
20.2234 NaN
20.2500 NaN
20.2651 NaN
20.2917 NaN
20.3068 NaN
20.3333 NaN
20.3484 NaN
20.3750 NaN
20.3901 NaN
20.4167 NaN
20.4317 NaN
20.4583 NaN
20.4734 NaN
20.5000 NaN
20.5150 NaN
20.5417 NaN
20.5567 NaN
20.5833 NaN
20.5983 NaN
20.6250 NaN
20.6400 NaN
20.6667 NaN
20.6816 NaN
20.7083 NaN
20.7233 NaN
20.7500 NaN
20.7650 NaN
20.7917 NaN
20.8066 NaN
20.8333 NaN
20.8483 NaN
20.8750 NaN
20.8899 NaN
20.9167 NaN
20.9316 NaN
20.9583 NaN
20.9732 NaN
21.0000 NaN
21.0149 NaN
21.0417 NaN
21.0565 NaN
21.0833 NaN
21.0982 NaN
21.1250 NaN
21.1399 NaN
21.1667 NaN
21.1815 NaN
21.2083 NaN
21.2232 NaN
21.2500 NaN
21.2648 NaN
21.2917 NaN
21.3065 NaN
21.3333 NaN
21.3481 NaN
21.3750 NaN
21.3898 NaN
21.4167 NaN
21.4314 NaN
21.4583 NaN
21.4731 NaN
21.5000 NaN
21.5147 NaN
21.5417 NaN
21.5564 NaN
21.5833 NaN
21.5981 NaN
21.6250 NaN
21.6397 NaN
21.6667 NaN
21.6814 NaN
21.7083 NaN
21.7230 NaN
21.7500 NaN
21.7647 NaN
21.7917 NaN
21.8063 NaN
21.8333 NaN
21.8480 NaN
21.8750 NaN
21.8896 NaN
21.9167 NaN
21.9313 NaN
21.9583 -120.9112
21.9729 -119.0853
22.0000 -126.0277
22.0146 -125.6723
22.0417 -119.0917
22.0563 -115.3999
22.0833 -118.1331
22.0979 -123.8024
22.1250 -119.3421
22.1396 -93.9524
22.1667 -62.1126
22.1812 -42.1662
22.2083 -27.4059
22.2229 -13.1401
22.2500 -27.0709
22.2645 -83.0965
22.2917 -130.4852
22.3062 -118.8353
22.3333 -93.4565
22.3478 -101.7404
22.3750 -97.6583
22.3895 -58.5547
22.4167 -52.0376
22.4312 -109.2451
22.4583 -141.8006
22.4728 -87.4515
22.5000 -6.6034
22.5145 26.4451
22.5417 10.1467
22.5561 -22.3981
22.5833 -47.4096
22.5978 -55.6927
22.6250 -58.1248
22.6394 -66.2742
22.6667 -74.9588
22.6811 -71.7779
22.7083 -67.9692
22.7227 -75.2605
22.7500 -79.0990
22.7644 -69.6358
22.7917 -54.8268
22.8060 -43.4741
22.8333 -37.9054
22.8477 -38.7580
22.8750 -37.3318
22.8894 -24.7499
22.9167 -14.2595
22.9310 -26.3245
22.9583 -52.2166
22.9727 -58.3666
23.0000 -33.1523
23.0143 8.0653
23.0417 32.5441
23.0560 14.3157
23.0833 -18.9805
23.0976 -33.8218
23.1250 -34.9507
23.1393 -30.7087
23.1667 -32.7360
23.1809 -46.8225
