year;dectime;dryQSresid
2004;15.4167;NaN
2004;15.4331;NaN
2004;15.4583;NaN
2004;15.4748;NaN
2004;15.5;NaN
2004;15.5164;NaN
2004;15.5417;NaN
2004;15.5581;NaN
2004;15.5833;NaN
2004;15.5998;NaN
2004;15.625;NaN
2004;15.6414;NaN
2004;15.6667;NaN
2004;15.6831;NaN
2004;15.7083;NaN
2004;15.7247;NaN
2004;15.75;NaN
2004;15.7664;NaN
2004;15.7917;NaN
2004;15.808;NaN
2004;15.8333;NaN
2004;15.8497;NaN
2004;15.875;NaN
2004;15.8913;NaN
2004;15.9167;NaN
2004;15.933;NaN
2004;15.9583;NaN
2004;15.9746;NaN
2004;16;NaN
2004;16.0163;NaN
2004;16.0417;NaN
2004;16.058;NaN
2004;16.0833;NaN
2004;16.0996;NaN
2004;16.125;NaN
2004;16.1413;NaN
2004;16.1667;NaN
2004;16.1829;NaN
2004;16.2083;NaN
2004;16.2246;NaN
2004;16.25;NaN
2004;16.2662;NaN
2004;16.2917;NaN
2004;16.3079;NaN
2004;16.3333;NaN
2004;16.3495;NaN
2004;16.375;NaN
2004;16.3912;NaN
2004;16.4167;NaN
2004;16.4328;NaN
2004;16.4583;NaN
2004;16.4745;NaN
2004;16.5;NaN
2004;16.5162;NaN
2004;16.5417;NaN
2004;16.5578;NaN
2004;16.5833;NaN
2004;16.5995;NaN
2004;16.625;NaN
2004;16.6411;NaN
2004;16.6667;NaN
2004;16.6828;NaN
2004;16.7083;NaN
2004;16.7244;NaN
2004;16.75;NaN
2004;16.7661;NaN
2004;16.7917;NaN
2004;16.8077;NaN
2004;16.8333;NaN
2004;16.8494;NaN
2004;16.875;NaN
2004;16.8911;NaN
2004;16.9167;NaN
2004;16.9327;NaN
2004;16.9583;NaN
2004;16.9744;NaN
2004;17;NaN
2004;17.016;NaN
2004;17.0417;NaN
2004;17.0577;NaN
2004;17.0833;NaN
2004;17.0993;NaN
2004;17.125;NaN
2004;17.141;NaN
2004;17.1667;NaN
2004;17.1826;NaN
2004;17.2083;NaN
2004;17.2243;NaN
2004;17.25;NaN
2004;17.2659;NaN
2004;17.2917;NaN
2004;17.3076;NaN
2004;17.3333;NaN
2004;17.3493;NaN
2004;17.375;NaN
2004;17.3909;NaN
2004;17.4167;-11.9509
2004;17.4326;-22.1094
2004;17.4583;-19.9554
2004;17.4742;-6.1057
2004;17.5;NaN
2004;17.5159;NaN
2004;17.5417;NaN
2004;17.5575;NaN
2004;17.5833;NaN
2004;17.5992;NaN
2004;17.625;NaN
2004;17.6408;NaN
2004;17.6667;NaN
2004;17.6825;NaN
2004;17.7083;NaN
2004;17.7242;NaN
2004;17.75;NaN
2004;17.7658;NaN
2004;17.7917;NaN
2004;17.8075;NaN
2004;17.8333;NaN
2004;17.8491;NaN
2004;17.875;NaN
2004;17.8908;NaN
2004;17.9167;NaN
2004;17.9324;NaN
2004;17.9583;NaN
2004;17.9741;NaN
2004;18;NaN
2004;18.0157;NaN
2004;18.0417;NaN
2004;18.0574;NaN
2004;18.0833;NaN
2004;18.099;NaN
